episode,epsilon,score,average,avg_q_values
0.0,1.0,-111.0,-111.18861977251824,1.8442397117614746
1.0,0.9858158423524046,-252.0,-182.06349524922075,-0.6583573818206787
2.0,0.9718328750329811,-171.0,-178.69825373160535,2.143744468688965
3.0,0.9580482443263975,-375.0,-227.91094423433026,0.36453142762184143
4.0,0.9444591369948698,-236.0,-229.67537756255683,15.724590301513672
5.0,0.9310627797040227,-151.0,-216.6729221351566,21.761857986450195
6.0,0.9178564384568926,-108.0,-201.1871387425655,11.84550952911377
7.0,0.9048374180359595,-224.0,-204.04208007949615,16.99875831604004
8.0,0.8920030614530944,-295.0,-214.2129169502537,3.75032377243042
9.0,0.879350749407306,-155.0,-208.30904916019074,-1.3320832252502441
10.0,0.8668778997501816,-442.0,-229.6206252852263,-1.4735215902328491
11.0,0.8545819669589086,-93.0,-218.2698563101747,28.969511032104492
12.0,0.8424604416167714,-5.0,-201.91911992272594,13.387084007263184
13.0,0.8305108499010163,-77.0,-193.02752218320035,30.99139976501465
14.0,0.8187307530779818,-114.0,-187.79445053852422,24.30946159362793
15.0,0.8071177470053893,-133.0,-184.41361261387212,33.224571228027344
16.0,0.7956694616416928,-113.0,-180.26861562758,18.834993362426758
17.0,0.7843835605623898,-92.0,-175.3721983117792,46.51323318481445
18.0,0.7732577404831906,-144.0,-173.74026252330208,43.276981353759766
19.0,0.7622897307899537,-302.0,-180.1834326912995,17.490367889404297
20.0,0.751477293075286,-95.0,-176.14220082902668,34.624027252197266
21.0,0.7408182206817179,-85.0,-172.00697099585554,33.02924346923828
22.0,0.7303103382513573,-56.0,-166.9872302873331,40.99324417114258
23.0,0.7199515012819313,-141.0,-165.9257301954564,37.29890060424805
24.0,0.7097395956891255,-101.0,-163.36481724528358,36.39214324951172
25.0,0.6996725373751304,-67.0,-159.68777855842438,44.4290657043457
26.0,0.6897482718033084,-42.0,-155.3453501631695,59.9394416809082
27.0,0.6799647735788938,-70.0,-152.3009862547601,48.55794143676758
28.0,0.6703200460356393,-92.0,-150.24990554623082,39.683597564697266
29.0,0.6608121208283264,-66.0,-147.46011257807868,71.8302230834961
30.0,0.6514390575310556,-81.0,-145.33627600476865,57.79145812988281
31.0,0.6421989432412342,-10.0,-141.13588304345456,31.782976150512695
32.0,0.6330898921891813,-260.0,-144.75331617994254,75.13810729980469
33.0,0.6241100453532709,4.0,-140.3750296726811,89.95292663574219
34.0,0.6152575700805322,-93.0,-139.030641560981,39.441959381103516
35.0,0.6065306597126334,-78.0,-137.3370746688966,49.84714889526367
36.0,0.5979275332171694,15.0,-133.19356007230854,65.77213287353516
37.0,0.5894464348241792,-62.0,-131.32234841470967,93.80831909179688
38.0,0.5810856336678201,1.0,-127.92535111488054,82.98612213134766
39.0,0.5728434234331229,-23.0,-125.31922439915637,83.69764709472656
40.0,0.5647181220077593,-128.0,-125.39763494877899,109.5544662475586
41.0,0.5567080711387471,-55.0,-123.72947556567166,67.73492431640625
42.0,0.5488116360940265,-17.0,-121.24771569019995,87.37004089355469
43.0,0.541027205328834,-37.0,-119.337980042585,62.788578033447266
44.0,0.5333531901568119,-1.0,-116.71814318487968,41.8175048828125
45.0,0.5257880244257798,-65.0,-115.6075124922522,64.10794830322266
46.0,0.5183301641981067,-33.0,-113.85967010908567,95.68698120117188
47.0,0.5109780874356169,-17.0,-111.85222700160979,58.59965896606445
